emp_no,first_name,last_name,salary,to_date,title
10702,Bader,Szemeredi,46581,9999-01-01,Senior Engineer
10718,Adib,Rullman,75473,9999-01-01,Engineer
10100,Hironobu,Haraldson,54398,9999-01-01,Staff
10718,Adib,Rullman,75473,9999-01-01,Senior Engineer
10726,Zita,Minakawa,46315,9999-01-01,Engineer
10103,Akemi,Birch,68158,9999-01-01,Engineer
10726,Zita,Minakawa,46315,9999-01-01,Senior Engineer
10126,Kayoko,Valtorta,40000,9999-01-01,Senior Staff
10734,Sachar,Erdi,47377,9999-01-01,Engineer
10745,Poorav,Ranze,40000,9999-01-01,Engineer
10745,Poorav,Ranze,40000,9999-01-01,Senior Engineer
10749,King,Brendel,60829,9999-01-01,Engineer
10749,King,Brendel,60829,9999-01-01,Senior Engineer
10767,Monique,Doering,40651,9999-01-01,Staff
10768,Ishfaq,Candan,65717,9999-01-01,Engineer
10768,Ishfaq,Candan,65717,9999-01-01,Senior Engineer
10126,Kayoko,Valtorta,40000,9999-01-01,Staff
10129,Armond,Peir,40000,9999-01-01,Technique Leader
10130,Nishit,Casperson,40000,9999-01-01,Senior Engineer
10778,Selwyn,Merey,64996,9999-01-01,Senior Staff
10134,Diederik,Siprelle,40000,9999-01-01,Engineer
10134,Diederik,Siprelle,40000,9999-01-01,Senior Engineer
10138,Perry,Shimshoni,53574,9999-01-01,Engineer
10138,Perry,Shimshoni,53574,9999-01-01,Senior Engineer
10150,Zhenbing,Perng,70122,9999-01-01,Engineer
10791,Tadahiko,Sgarro,40000,9999-01-01,Engineer
10791,Tadahiko,Sgarro,40000,9999-01-01,Senior Engineer
10795,Supot,Naudin,84206,9999-01-01,Senior Staff
10795,Supot,Naudin,84206,9999-01-01,Staff
10808,Chenxi,Leijenhorst,40000,9999-01-01,Senior Engineer
10835,Tomoyuki,Kermarrec,40000,9999-01-01,Engineer
10836,Jianhua,Leivant,65502,9999-01-01,Senior Staff
10844,Dipayan,Koprowski,40000,9999-01-01,Engineer
10847,Theirry,Danley,40000,9999-01-01,Senior Staff
10847,Theirry,Danley,40000,9999-01-01,Staff
10848,Fen,Bratsberg,50475,9999-01-01,Engineer
10848,Fen,Bratsberg,50475,9999-01-01,Senior Engineer
10878,Lakshmi,Deville,72102,9999-01-01,Staff
10879,Muzhong,Chleq,65651,9999-01-01,Senior Engineer
10883,Shimshon,Champarnaud,40000,9999-01-01,Engineer
10909,Georgi,Atchley,80935,9999-01-01,Engineer
10909,Georgi,Atchley,80935,9999-01-01,Senior Engineer
10921,Mara,Bahi,72601,9999-01-01,Engineer
10921,Mara,Bahi,72601,9999-01-01,Senior Engineer
10924,Hironoby,Atchley,84783,9999-01-01,Senior Staff
10924,Hironoby,Atchley,84783,9999-01-01,Staff
10927,Gal,Scallan,51819,9999-01-01,Senior Staff
10927,Gal,Scallan,51819,9999-01-01,Staff
10936,Mountaz,Schicker,40000,9999-01-01,Senior Staff
10936,Mountaz,Schicker,40000,9999-01-01,Staff
10943,Berna,Skafidas,45890,9999-01-01,Engineer
10943,Berna,Skafidas,45890,9999-01-01,Senior Engineer
10965,Eckart,Braunschweig,61654,9999-01-01,Senior Staff
10969,Premal,Noriega,40000,9999-01-01,Senior Engineer
10974,Muneo,Papsdorf,56005,9999-01-01,Senior Engineer
10986,Masako,Schiper,43900,9999-01-01,Technique Leader
10988,Chinya,Deyuan,54174,9999-01-01,Senior Engineer
10989,Sumali,Candan,46406,9999-01-01,Senior Staff
10989,Sumali,Candan,46406,9999-01-01,Staff
10990,Shin,Foote,40000,9999-01-01,Technique Leader
11009,Alper,Axelband,75111,9999-01-01,Senior Staff
11009,Alper,Axelband,75111,9999-01-01,Staff
11012,Taegyun,Speckmann,72092,9999-01-01,Staff
11019,Leon,Huttel,69387,9999-01-01,Engineer
11019,Leon,Huttel,69387,9999-01-01,Senior Engineer
11021,Srinidhi,Henders,62670,9999-01-01,Staff
11027,Remzi,Cappello,40000,9999-01-01,Assistant Engineer
11027,Remzi,Cappello,40000,9999-01-01,Engineer
11027,Remzi,Cappello,40000,9999-01-01,Senior Engineer
11031,Ottavia,Walstra,71654,9999-01-01,Senior Staff
11031,Ottavia,Walstra,71654,9999-01-01,Staff
11037,Lansing,Maliniak,40000,9999-01-01,Engineer
11037,Lansing,Maliniak,40000,9999-01-01,Senior Engineer
11038,Jinya,Beidas,44993,9999-01-01,Senior Staff
11038,Jinya,Beidas,44993,9999-01-01,Staff
11042,Gou,Breugel,40000,9999-01-01,Engineer
11042,Gou,Breugel,40000,9999-01-01,Senior Engineer
11048,Jaques,Demke,65697,9999-01-01,Senior Staff
11050,Elvis,Katiyar,52251,9999-01-01,Senior Staff
11050,Elvis,Katiyar,52251,9999-01-01,Staff
11051,Przemyslawa,Erol,40000,9999-01-01,Engineer
11051,Przemyslawa,Erol,40000,9999-01-01,Senior Engineer
11070,Adib,Raney,40000,9999-01-01,Engineer
11070,Adib,Raney,40000,9999-01-01,Senior Engineer
11081,Barry,Boyle,65686,9999-01-01,Senior Staff
11081,Barry,Boyle,65686,9999-01-01,Staff
11085,Hailing,Thummel,66437,9999-01-01,Senior Engineer
11100,Berna,Cochrane,40000,9999-01-01,Senior Staff
11100,Berna,Cochrane,40000,9999-01-01,Staff
11106,Aris,Iwayama,71446,9999-01-01,Assistant Engineer
11106,Aris,Iwayama,71446,9999-01-01,Engineer
11106,Aris,Iwayama,71446,9999-01-01,Senior Engineer
11112,Boaz,Mukaidono,40000,9999-01-01,Staff
11113,Shahab,Peng,66401,9999-01-01,Senior Staff
11113,Shahab,Peng,66401,9999-01-01,Staff
11121,Vugranam,Kakkad,40000,9999-01-01,Engineer
11121,Vugranam,Kakkad,40000,9999-01-01,Senior Engineer
11133,Nalini,Azulay,40000,9999-01-01,Technique Leader
11134,Sachar,Rajcani,58731,9999-01-01,Engineer
11134,Sachar,Rajcani,58731,9999-01-01,Senior Engineer
11137,Hugh,Luca,40000,9999-01-01,Engineer
11139,Bogdan,Homond,63596,9999-01-01,Senior Staff
11139,Bogdan,Homond,63596,9999-01-01,Staff
11146,Ishfaq,Masand,96019,9999-01-01,Senior Staff
11146,Ishfaq,Masand,96019,9999-01-01,Staff
11148,Zhanqiu,Botman,56344,9999-01-01,Senior Staff
11148,Zhanqiu,Botman,56344,9999-01-01,Staff
11162,Kauko,Narlikar,69873,9999-01-01,Engineer
11162,Kauko,Narlikar,69873,9999-01-01,Senior Engineer
11180,Mitsuyuki,Bojadziev,40000,9999-01-01,Engineer
11180,Mitsuyuki,Bojadziev,40000,9999-01-01,Senior Engineer
11197,Tadahiro,Fordan,88741,9999-01-01,Senior Staff
11204,Diederik,Covnot,40000,9999-01-01,Technique Leader
11207,Saeed,Gips,49728,9999-01-01,Engineer
11208,Saniya,Valtorta,83660,9999-01-01,Technique Leader
11211,Yurij,Rissland,72668,9999-01-01,Senior Engineer
11217,Kellie,Mawatari,40000,9999-01-01,Senior Engineer
11232,Hidefumi,Crelier,43863,9999-01-01,Senior Staff
11232,Hidefumi,Crelier,43863,9999-01-01,Staff
11240,Kiam,Condotta,61739,9999-01-01,Assistant Engineer
11240,Kiam,Condotta,61739,9999-01-01,Engineer
11249,Randi,Cyre,43324,9999-01-01,Assistant Engineer
11249,Randi,Cyre,43324,9999-01-01,Engineer
11251,Bezalel,Chinal,69432,9999-01-01,Senior Staff
11251,Bezalel,Chinal,69432,9999-01-01,Staff
11268,Aimee,Petersohn,40000,9999-01-01,Engineer
11268,Aimee,Petersohn,40000,9999-01-01,Senior Engineer
11275,Hitomi,Eppinger,58382,9999-01-01,Engineer
11275,Hitomi,Eppinger,58382,9999-01-01,Senior Engineer
11290,Visit,Dredge,65034,9999-01-01,Engineer
11295,Abdelkader,Lanzelotte,66622,9999-01-01,Senior Staff
11295,Abdelkader,Lanzelotte,66622,9999-01-01,Staff
11319,Pranas,Marrakchi,40000,9999-01-01,Assistant Engineer
11320,Atilio,McAlpine,45118,9999-01-01,Senior Staff
11320,Atilio,McAlpine,45118,9999-01-01,Staff
11322,Nathalie,Pocchiola,43021,9999-01-01,Assistant Engineer
11322,Nathalie,Pocchiola,43021,9999-01-01,Engineer
11322,Nathalie,Pocchiola,43021,9999-01-01,Senior Engineer
11324,Kauko,Billingsley,54288,9999-01-01,Senior Engineer
11338,Kwangsub,Hanratty,82210,9999-01-01,Senior Staff
11339,Flemming,Massonet,40000,9999-01-01,Senior Engineer
11347,Anneli,Jonsson,41524,9999-01-01,Engineer
11347,Anneli,Jonsson,41524,9999-01-01,Senior Engineer
11365,Toshimi,Shinomoto,56463,9999-01-01,Engineer
11376,Valery,Suomi,46964,9999-01-01,Senior Staff
11376,Valery,Suomi,46964,9999-01-01,Staff
11380,Kenroku,Pelc,53345,9999-01-01,Assistant Engineer
11380,Kenroku,Pelc,53345,9999-01-01,Engineer
11380,Kenroku,Pelc,53345,9999-01-01,Senior Engineer
11385,Shiv,Ullian,40000,9999-01-01,Engineer
11386,Alselm,Assaf,47726,9999-01-01,Engineer
11386,Alselm,Assaf,47726,9999-01-01,Senior Engineer
11393,Junsik,Junot,40000,9999-01-01,Engineer
11393,Junsik,Junot,40000,9999-01-01,Senior Engineer
11398,Oscar,Peir,44625,9999-01-01,Senior Staff
11398,Oscar,Peir,44625,9999-01-01,Staff
11404,Bedrich,Borovoy,42907,9999-01-01,Technique Leader
11415,Sanjiv,Anido,40000,9999-01-01,Engineer
11421,Josyula,Msuda,52416,9999-01-01,Engineer
11421,Josyula,Msuda,52416,9999-01-01,Senior Engineer
11441,Marlo,Aingworth,67352,9999-01-01,Senior Staff
11449,Kotesh,Asser,61434,9999-01-01,Engineer
11449,Kotesh,Asser,61434,9999-01-01,Senior Engineer
11459,Duke,Suomi,40000,9999-01-01,Senior Staff
11459,Duke,Suomi,40000,9999-01-01,Staff
11469,Guttorm,Giaccio,44625,9999-01-01,Engineer
11469,Guttorm,Giaccio,44625,9999-01-01,Senior Engineer
11506,Rance,Picel,89747,9999-01-01,Staff
11509,Aleksander,Feldhoffer,40000,9999-01-01,Engineer
11509,Aleksander,Feldhoffer,40000,9999-01-01,Senior Engineer
11513,Otmar,Mahnke,82525,9999-01-01,Senior Staff
11513,Otmar,Mahnke,82525,9999-01-01,Staff
11515,Ulf,Basawa,70182,9999-01-01,Staff
11518,Jinxi,Oxman,40000,9999-01-01,Senior Staff
11518,Jinxi,Oxman,40000,9999-01-01,Staff
11524,Xiadong,Standera,41081,9999-01-01,Senior Engineer
11527,Alagu,Boyle,60212,9999-01-01,Staff
11528,Zito,Dolinsky,44026,9999-01-01,Technique Leader
11537,DAIDA,Pehl,96023,9999-01-01,Senior Staff
11554,Subhash,Taubenfeld,46065,9999-01-01,Staff
11555,Kotesh,Perfilyeva,40000,9999-01-01,Senior Staff
11555,Kotesh,Perfilyeva,40000,9999-01-01,Staff
11567,Teiji,Mitzlaff,86261,9999-01-01,Senior Staff
11567,Teiji,Mitzlaff,86261,9999-01-01,Staff
11568,Martins,Fujisaki,54673,9999-01-01,Engineer
11568,Martins,Fujisaki,54673,9999-01-01,Senior Engineer
11603,Herb,Swen,69180,9999-01-01,Senior Staff
11603,Herb,Swen,69180,9999-01-01,Staff
11607,Tomokazu,Foong,49584,9999-01-01,Engineer
11615,Shem,Isaak,46591,9999-01-01,Senior Staff
11615,Shem,Isaak,46591,9999-01-01,Staff
11624,Adil,Gammage,42001,9999-01-01,Engineer
11624,Adil,Gammage,42001,9999-01-01,Senior Engineer
11628,Fan,Malinowski,43966,9999-01-01,Engineer
11628,Fan,Malinowski,43966,9999-01-01,Senior Engineer
11640,Valeri,Coorg,52520,9999-01-01,Senior Engineer
11647,Magy,Nitsche,40000,9999-01-01,Engineer
11647,Magy,Nitsche,40000,9999-01-01,Senior Engineer
11660,Gill,Stenning,65758,9999-01-01,Senior Staff
11660,Gill,Stenning,65758,9999-01-01,Staff
11673,Henk,Felder,40000,9999-01-01,Technique Leader
11676,Valeri,Ferriere,43310,9999-01-01,Engineer
11681,Fumitake,Benzmuller,40000,9999-01-01,Engineer
11681,Fumitake,Benzmuller,40000,9999-01-01,Senior Engineer
11684,Oksana,Gide,68753,9999-01-01,Senior Staff
11684,Oksana,Gide,68753,9999-01-01,Staff
11696,Dante,Rothe,51633,9999-01-01,Senior Staff
11696,Dante,Rothe,51633,9999-01-01,Staff
11732,Sanjoy,Ranft,40000,9999-01-01,Senior Engineer
11735,Amalendu,Picci,40000,9999-01-01,Senior Staff
11735,Amalendu,Picci,40000,9999-01-01,Staff
11746,Koichi,Marrakchi,55951,9999-01-01,Senior Staff
11746,Koichi,Marrakchi,55951,9999-01-01,Staff
11751,Jiafu,Emiris,40000,9999-01-01,Senior Staff
11751,Jiafu,Emiris,40000,9999-01-01,Staff
11764,Sanjay,Anick,64875,9999-01-01,Engineer
11764,Sanjay,Anick,64875,9999-01-01,Senior Engineer
11769,Chandrasekaran,Lampe,40000,9999-01-01,Senior Staff
11769,Chandrasekaran,Lampe,40000,9999-01-01,Staff
11772,Gaurav,Penz,61295,9999-01-01,Engineer
11797,Chenxi,Thambidurai,88050,9999-01-01,Senior Staff
11797,Chenxi,Thambidurai,88050,9999-01-01,Staff
11810,Amabile,Bhattacharjee,41256,9999-01-01,Senior Engineer
11817,Niranjan,Markovitch,50638,9999-01-01,Senior Staff
11817,Niranjan,Markovitch,50638,9999-01-01,Staff
11832,Arto,Zlotek,40000,9999-01-01,Engineer
11844,Shawna,Demeyer,78049,9999-01-01,Engineer
11844,Shawna,Demeyer,78049,9999-01-01,Senior Engineer
11853,Zeljko,Kusakabe,61941,9999-01-01,Senior Staff
11853,Zeljko,Kusakabe,61941,9999-01-01,Staff
11857,Divier,Farrag,94805,9999-01-01,Senior Staff
11864,Pradeep,Kriebel,52517,9999-01-01,Staff
11871,Nalini,Sommen,67424,9999-01-01,Engineer
11871,Nalini,Sommen,67424,9999-01-01,Senior Engineer
11872,Cheong,Riexinger,43159,9999-01-01,Senior Staff
11872,Cheong,Riexinger,43159,9999-01-01,Staff
11894,Mitchel,Validov,56198,9999-01-01,Senior Engineer
11897,Cordelia,Setlzner,80049,9999-01-01,Senior Staff
11897,Cordelia,Setlzner,80049,9999-01-01,Staff
11906,Hideo,Boguraev,81324,9999-01-01,Engineer
11915,Miomir,Mawatari,58042,9999-01-01,Engineer
11915,Miomir,Mawatari,58042,9999-01-01,Senior Engineer
11931,Gunilla,Chiodo,73369,9999-01-01,Senior Staff
11931,Gunilla,Chiodo,73369,9999-01-01,Staff
11933,Basil,Erman,56130,9999-01-01,Engineer
11933,Basil,Erman,56130,9999-01-01,Senior Engineer
11949,Martijn,Harbusch,40000,9999-01-01,Technique Leader
11983,Jaana,Hedayat,40000,9999-01-01,Engineer
11983,Jaana,Hedayat,40000,9999-01-01,Senior Engineer
11993,Marit,Dalphin,56505,9999-01-01,Senior Staff
12011,Zhilian,Coorg,85833,9999-01-01,Senior Staff
12011,Zhilian,Coorg,85833,9999-01-01,Staff
12036,Mads,Ratzlaff,67143,9999-01-01,Senior Staff
12036,Mads,Ratzlaff,67143,9999-01-01,Staff
12037,Arunas,Katzenelson,47805,9999-01-01,Senior Staff
12037,Arunas,Katzenelson,47805,9999-01-01,Staff
12050,Yuchang,Tchuente,46704,9999-01-01,Assistant Engineer
12050,Yuchang,Tchuente,46704,9999-01-01,Engineer
12062,Margareta,Worfolk,44199,9999-01-01,Senior Staff
12069,Ayonca,Burnard,51928,9999-01-01,Assistant Engineer
12069,Ayonca,Burnard,51928,9999-01-01,Engineer
12069,Ayonca,Burnard,51928,9999-01-01,Senior Engineer
12070,Ger,Shokrollahi,50233,9999-01-01,Technique Leader
12076,Karlis,Siprelle,75381,9999-01-01,Senior Staff
12082,Xinan,Yamaashi,72118,9999-01-01,Senior Staff
12082,Xinan,Yamaashi,72118,9999-01-01,Staff
12089,Bilhanan,Socorro,46288,9999-01-01,Senior Staff
12089,Bilhanan,Socorro,46288,9999-01-01,Staff
12099,Nobuyoshi,Kuzuoka,104610,9999-01-01,Senior Staff
12099,Nobuyoshi,Kuzuoka,104610,9999-01-01,Staff
12112,Satyanarayana,Avouris,76538,9999-01-01,Senior Staff
12112,Satyanarayana,Avouris,76538,9999-01-01,Staff
12122,Satoru,Krone,46398,9999-01-01,Engineer
12122,Satoru,Krone,46398,9999-01-01,Senior Engineer
12123,Xiahua,Syrzycki,64879,9999-01-01,Senior Staff
12123,Xiahua,Syrzycki,64879,9999-01-01,Staff
12125,Shounak,Erman,41215,9999-01-01,Engineer
12149,Suebskul,Grandbois,109934,9999-01-01,Senior Staff
12159,Shem,Perly,61210,9999-01-01,Senior Engineer
12165,Xiaobin,Maquelin,41951,9999-01-01,Senior Engineer
12183,Harngdar,Iisaku,40000,9999-01-01,Engineer
12192,Feiyu,Klyachko,41625,9999-01-01,Engineer
12192,Feiyu,Klyachko,41625,9999-01-01,Senior Engineer
12205,Sushant,Rossi,40000,9999-01-01,Senior Engineer
12206,Barton,Janetzko,40000,9999-01-01,Assistant Engineer
12206,Barton,Janetzko,40000,9999-01-01,Engineer
12206,Barton,Janetzko,40000,9999-01-01,Senior Engineer
12218,Yaghout,Strooper,40000,9999-01-01,Engineer
12218,Yaghout,Strooper,40000,9999-01-01,Senior Engineer
12221,Vincent,Melter,56736,9999-01-01,Engineer
12221,Vincent,Melter,56736,9999-01-01,Senior Engineer
12222,Abdelwaheb,Holburn,55840,9999-01-01,Senior Staff
12222,Abdelwaheb,Holburn,55840,9999-01-01,Staff
12223,Niteen,Koyama,54459,9999-01-01,Engineer
12223,Niteen,Koyama,54459,9999-01-01,Senior Engineer
12247,Subbu,Penttonen,59183,9999-01-01,Technique Leader
12249,Eldridge,Sadowski,70099,9999-01-01,Engineer
12249,Eldridge,Sadowski,70099,9999-01-01,Senior Engineer
12256,Guadalupe,Reghbati,40000,9999-01-01,Senior Staff
12256,Guadalupe,Reghbati,40000,9999-01-01,Staff
12264,Mart,Pagter,51816,9999-01-01,Engineer
12270,Shakhar,Kornyak,52840,9999-01-01,Senior Staff
12270,Shakhar,Kornyak,52840,9999-01-01,Staff
12272,Behnaam,Grandbois,43811,9999-01-01,Senior Staff
12272,Behnaam,Grandbois,43811,9999-01-01,Staff
12308,Mototsugu,Cronau,58741,9999-01-01,Senior Staff
12308,Mototsugu,Cronau,58741,9999-01-01,Staff
12311,Susanne,Lubachevsky,40000,9999-01-01,Senior Engineer
12327,DAIDA,Bruckman,67449,9999-01-01,Engineer
12327,DAIDA,Bruckman,67449,9999-01-01,Senior Engineer
12341,Rasiah,Luga,40000,9999-01-01,Engineer
12341,Rasiah,Luga,40000,9999-01-01,Senior Engineer
12343,Sorina,Slaats,52134,9999-01-01,Senior Staff
12343,Sorina,Slaats,52134,9999-01-01,Staff
12365,Kamakshi,Bisiani,40000,9999-01-01,Engineer
12365,Kamakshi,Bisiani,40000,9999-01-01,Senior Engineer
12373,Mooi,Driscoll,75986,9999-01-01,Senior Staff
12395,Sanjit,Felder,66909,9999-01-01,Senior Staff
12399,Mihalis,Luga,85582,9999-01-01,Senior Staff
12399,Mihalis,Luga,85582,9999-01-01,Staff
12411,Shao,Ibel,97610,9999-01-01,Senior Staff
12411,Shao,Ibel,97610,9999-01-01,Staff
12413,Hugh,Gadepally,53179,9999-01-01,Engineer
12413,Hugh,Gadepally,53179,9999-01-01,Senior Engineer
12417,Dannz,Spelt,67342,9999-01-01,Senior Engineer
12422,Berhard,Demos,71376,9999-01-01,Senior Staff
12422,Berhard,Demos,71376,9999-01-01,Staff
12454,Kerryn,Farris,41347,9999-01-01,Staff
12464,Shai,Milicic,50448,9999-01-01,Staff
12475,Filipe,Roison,40000,9999-01-01,Engineer
12475,Filipe,Roison,40000,9999-01-01,Senior Engineer
12487,Mona,Reghbati,40000,9999-01-01,Senior Staff
12489,Arnould,Munck,63306,9999-01-01,Senior Engineer
12490,Jackson,Muchinsky,40000,9999-01-01,Engineer
12490,Jackson,Muchinsky,40000,9999-01-01,Senior Engineer
12497,Stein,Penz,81191,9999-01-01,Senior Staff
12497,Stein,Penz,81191,9999-01-01,Staff
12501,Morrie,Matheson,76082,9999-01-01,Senior Staff
12504,Adly,Rosaz,40000,9999-01-01,Engineer
12514,Tomofumi,Melter,54241,9999-01-01,Engineer
12528,Conor,Cincotta,40000,9999-01-01,Senior Staff
12528,Conor,Cincotta,40000,9999-01-01,Staff
12534,Yongmao,Gerlach,66715,9999-01-01,Senior Engineer
12541,Shih,Nanard,93105,9999-01-01,Senior Staff
12541,Shih,Nanard,93105,9999-01-01,Staff
12542,Kazuhide,Bouloucos,44176,9999-01-01,Senior Staff
12542,Kazuhide,Bouloucos,44176,9999-01-01,Staff
12551,Jeane,Tzvieli,40000,9999-01-01,Engineer
12551,Jeane,Tzvieli,40000,9999-01-01,Senior Engineer
12553,Aral,Vesna,40000,9999-01-01,Senior Staff
12557,Stafford,Kopetz,41840,9999-01-01,Senior Engineer
12589,Anoosh,Chleq,59441,9999-01-01,Engineer
12589,Anoosh,Chleq,59441,9999-01-01,Senior Engineer
12596,Breannda,Roisin,40000,9999-01-01,Senior Staff
12601,Ghassan,Simkin,41714,9999-01-01,Assistant Engineer
12601,Ghassan,Simkin,41714,9999-01-01,Engineer
12601,Ghassan,Simkin,41714,9999-01-01,Senior Engineer
12608,Nectarios,Mondadori,40000,9999-01-01,Senior Staff
12608,Nectarios,Mondadori,40000,9999-01-01,Staff
12635,Xinyu,Restivo,40000,9999-01-01,Engineer
12635,Xinyu,Restivo,40000,9999-01-01,Senior Engineer
12638,Yuqun,Seiwald,56677,9999-01-01,Engineer
12642,Suebskul,Gips,68271,9999-01-01,Senior Staff
12642,Suebskul,Gips,68271,9999-01-01,Staff
12651,Pragnesh,Bael,75150,9999-01-01,Senior Staff
12662,Leucio,Alvarado,69016,9999-01-01,Assistant Engineer
12662,Leucio,Alvarado,69016,9999-01-01,Engineer
12663,Nobuyoshi,Stellhorn,49966,9999-01-01,Technique Leader
12664,Zhonghua,Parveen,40000,9999-01-01,Staff
12689,Luerbio,Boudaillier,59689,9999-01-01,Engineer
12689,Luerbio,Boudaillier,59689,9999-01-01,Senior Engineer
12691,Oddvar,Gils,48493,9999-01-01,Engineer
12691,Oddvar,Gils,48493,9999-01-01,Senior Engineer
12697,Uri,Brizzi,40000,9999-01-01,Senior Staff
12697,Uri,Brizzi,40000,9999-01-01,Staff
12709,Ronghao,Botman,45510,9999-01-01,Engineer
12709,Ronghao,Botman,45510,9999-01-01,Senior Engineer
